current voltage activation
1.53879e-06 1.60126 -0.549833
0.00773414 1.0804 -0.0313467
0.0154667 1.03586 0.0108171
0.0231993 1.00882 0.0354828
0.0309319 0.988943 0.0529838
0.0386645 0.972991 0.0665588
0.0463971 0.959523 0.0776505
0.0541297 0.947767 0.0870285
0.0618623 0.937265 0.0951521
0.0695949 0.92772 0.102318
0.0773275 0.918931 0.108727
0.0850601 0.910752 0.114526
0.0927927 0.903077 0.119819
0.100525 0.895826 0.124689
0.108258 0.888935 0.129197
0.11599 0.882354 0.133395
0.123723 0.876044 0.137321
0.131456 0.869971 0.141009
0.139188 0.864109 0.144487
0.146921 0.858433 0.147776
0.154653 0.852926 0.150897
0.162386 0.84757 0.153865
0.170119 0.842351 0.156695
0.177851 0.837258 0.159399
0.185584 0.832279 0.161989
0.193316 0.827405 0.164472
0.201049 0.822627 0.166858
0.208782 0.817939 0.169154
0.216514 0.813333 0.171367
0.224247 0.808804 0.173502
0.231979 0.804347 0.175564
0.239712 0.799957 0.177559
0.247445 0.795629 0.17949
0.255177 0.791359 0.181363
0.26291 0.787145 0.183179
0.270642 0.782982 0.184942
0.278375 0.778868 0.186656
0.286108 0.7748 0.188323
0.29384 0.770776 0.189945
0.301573 0.766793 0.191526
0.309305 0.762849 0.193066
0.317038 0.758942 0.194568
0.324771 0.75507 0.196034
0.332503 0.751232 0.197466
0.340236 0.747426 0.198865
0.347968 0.74365 0.200232
0.355701 0.739903 0.201569
0.363434 0.736184 0.202877
0.371166 0.732491 0.204158
0.378899 0.728824 0.205413
0.386631 0.725181 0.206642
0.394364 0.721561 0.207846
0.402097 0.717963 0.209028
0.409829 0.714387 0.210187
0.417562 0.710831 0.211324
0.425294 0.707295 0.21244
0.433027 0.703778 0.213536
0.44076 0.70028 0.214613
0.448492 0.696798 0.215671
0.456225 0.693334 0.216711
0.463957 0.689886 0.217734
0.47169 0.686453 0.218739
0.479423 0.683035 0.219729
0.487155 0.679632 0.220702
0.494888 0.676243 0.22166
0.50262 0.672868 0.222603
